Hackathons,Institutions,Links,Registration Deadline
OverTinker - Fluxus 10.0 - A Trip to Gamington Square,"Indian Institute of Technology (IIT), Indore",https://unstop.com/hackathon/overtinker-fluxus-100-a-trip-to-gamington-square-indian-institute-of-technology-iit-indore-571835,19-01-2023
Hack Dearborn,University of Michigan,https://unstop.com/hackathon/hack-dearborn-university-of-michigan-584292,10-03-2023
PolyHacks 2023,PolyHx,https://unstop.com/hackathon/polyhacks-2023-polyhx-584288,03-02-2023
CUhackit 2023,"College of Engineering, Computing & Applied Sciences, Clemson University",https://unstop.com/hackathon/cuhackit-2023-college-of-engineering-computing-applied-sciences-clemson-university-584126,03-02-2023
uOttaHack,University of Ottawa,https://unstop.com/hackathon/uottahack-university-of-ottawa-584127,08-02-2023
Double Slash 2.0,"Jadavpur University (JU), Kolkata",https://unstop.com/hackathon/double-slash-20-jadavpur-university-ju-kolkata-584134,15-01-2023
UI/UX Designing Hackathon,"Indian Institute of Technology (IIT), Patna",https://unstop.com/hackathon/uiux-designing-hackathon-indian-institute-of-technology-iit-patna-583592,02-02-2023
Hack3,Craft Hub,https://unstop.com/hackathon/hack3-craft-hub-580744,08-02-2023
Hack PNW,HackPNW,https://unstop.com/hackathon/hack-pnw-hackpnw-568205,31-01-2023
Hack-cidents - Shaastra 2023,"Indian Institute of Technology (IIT), Madras",https://unstop.com/hackathon/hack-cidents-shaastra-2023-indian-institute-of-technology-iit-madras-574110,12-01-2023
Algo-Quest - Petrichor,"Indian Institute of Technology (IIT), Palakkad",https://unstop.com/hackathon/algo-quest-petrichor-indian-institute-of-technology-iit-palakkad-578399,19-01-2023
CodeSpire,"Acropolis Institute of Technology and Research, Indore",https://unstop.com/hackathon/codespire-acropolis-institute-of-technology-and-research-indore-579588,31-01-2023
Concastle - Fluxus 10.0 - A Trip to Gamington Square,"Indian Institute of Technology (IIT), Indore",https://unstop.com/hackathon/concastle-indian-institute-of-technology-iit-indore-576413,21-01-2023
Cyber Cypher 2.0,"Narsee Monjee Institute of Management Studies (NMIMS), Mumbai",https://unstop.com/hackathon/cyber-cypher-20-hackathon-narsee-monjee-institute-of-management-studies-nmims-mumbai-577736,19-01-2023
Redesign - Fluxus 10.0 - A Trip to Gamington Square,"Indian Institute of Technology (IIT), Indore",https://unstop.com/hackathon/redesign-fluxus-100-a-trip-to-gamington-square-indian-institute-of-technology-iit-indore-571867,19-01-2023
Top Gear - Fluxus 10.0 - A Trip to Gamington Square,"Indian Institute of Technology (IIT), Indore",https://unstop.com/hackathon/top-gear-indian-institute-of-technology-iit-indore-576403,19-01-2023
Case Study- CFA Conclave - Fluxus 10.0 - A Trip to Gamington Square,"Indian Institute of Technology (IIT), Indore",https://unstop.com/hackathon/case-study-cfa-conclave-fluxus-100-a-trip-to-gamington-square-indian-institute-of-technology-iit-indore-571735,19-01-2023
Nakshatra - Fluxus 10.0 - A Trip to Gamington Square,"Indian Institute of Technology (IIT), Indore",https://unstop.com/hackathon/nakshatra-indian-institute-of-technology-iit-indore-576402,19-01-2023
Meta-Bizz,"Indian Institute of Technology (IIT), Indore",https://unstop.com/hackathon/meta-bizz-indian-institute-of-technology-iit-indore-576519,19-01-2023
Énosium,"Indian Institute of Technology (IIT), Indore",https://unstop.com/hackathon/enosium-indian-institute-of-technology-iit-indore-576408,19-01-2023
Building Blochs - Fluxus 10.0 - A Trip to Gamington Square,"Indian Institute of Technology (IIT), Indore",https://unstop.com/hackathon/building-blochs-indian-institute-of-technology-iit-indore-576411,19-01-2023
Telangana Got Tech Talent,Blackbuck Engineers Pvt. Ltd.,https://unstop.com/hackathon/telangana-got-tech-talent-blackbuck-engineers-pvt-ltd-578049,24-01-2023
HackFest'23 - Hack The Future,"Madan Mohan Malaviya University of Technology (MMMUT), Gorakhpur",https://unstop.com/hackathon/hackfest23-madan-mohan-malaviya-university-of-technology-mmmut-gorakhpur-577985,13-01-2023
Epitome'23,"Gokaraju Rangaraju Institute of Engineering and Technology (GRIET), Hyderabad",https://unstop.com/hackathon/epitome23-gokaraju-rangaraju-institute-of-engineering-and-technology-griet-hyderabad-577575,24-01-2023
The Title Hackathon - Shaastra 2023,"Indian Institute of Technology (IIT), Madras",https://unstop.com/hackathon/the-title-hackathon-shaastra-2023-indian-institute-of-technology-iit-madras-572231,19-01-2023
DComm VALHALLA : Code for Better Future,DComm,https://unstop.com/hackathon/dcomm-valhalla-code-for-better-future-dcomm-569754,30-01-2023
Fashion Tech Hackathon,Kent State University,https://unstop.com/hackathon/fashion-tech-hackathon-kent-state-university-568237,10-03-2023
